Zone,Hierarchy Path,Sprite Asset,Sprite Name,Pixel Width,Pixel Height,PPU,Local Scale X,Local Scale Y,World Scale X,World Scale Y,World Width,World Height,Sorting Layer,Order,Enabled
"SummonPathArea","_World/World/SummonPathArea/Decor/bush3 (3)","Assets/Arts/SummonPathArea/bush3.png","bush3","64","64","48","1","1","1","1","1.333","1.333","Default","3","true"
"SummonPathArea","_World/World/SummonPathArea/Decor/bush3 (4)","Assets/Arts/SummonPathArea/bush3.png","bush3","64","64","48","1","1","1","1","1.333","1.333","Default","0","true"
"SummonPathArea","_World/World/SummonPathArea/Decor/bush4","Assets/Arts/SummonPathArea/bush4.png","bush4","64","64","48","1","1","1","1","1.333","1.333","Default","3","true"
"SummonPathArea","_World/World/SummonPathArea/Decor/bush4 (1)","Assets/Arts/SummonPathArea/bush4.png","bush4","64","64","48","1","1","1","1","1.333","1.333","Default","3","true"
"SummonPathArea","_World/World/SummonPathArea/Decor/bush4 (2)","Assets/Arts/SummonPathArea/bush4.png","bush4","64","64","48","1","1","1","1","1.333","1.333","Default","4","true"
"SummonPathArea","_World/World/SummonPathArea/Decor/bush4 (3)","Assets/Arts/SummonPathArea/bush4.png","bush4","64","64","48","1","1","1","1","1.333","1.333","Default","3","true"
"SummonPathArea","_World/World/SummonPathArea/Decor/bush4 (4)","Assets/Arts/SummonPathArea/bush4.png","bush4","64","64","48","1","1","1","1","1.333","1.333","Default","3","true"
"SummonPathArea","_World/World/SummonPathArea/Decor/bush4 (5)","Assets/Arts/SummonPathArea/bush4.png","bush4","64","64","48","1","1","1","1","1.333","1.333","Default","3","true"
"SummonPathArea","_World/World/SummonPathArea/Decor/bush4 (6)","Assets/Arts/SummonPathArea/bush4.png","bush4","64","64","48","1","1","1","1","1.333","1.333","Default","3","true"
"SummonPathArea","_World/World/SummonPathArea/Decor/bush4 (7)","Assets/Arts/SummonPathArea/bush4.png","bush4","64","64","48","1","1","1","1","1.333","1.333","Default","3","true"
"SummonPathArea","_World/World/SummonPathArea/Decor/bush5","Assets/Arts/SummonPathArea/bush5.png","bush5","64","64","48","1","1","1","1","1.333","1.333","Default","4","true"
"SummonPathArea","_World/World/SummonPathArea/Decor/bush5 (1)","Assets/Arts/SummonPathArea/bush5.png","bush5","64","64","48","1","1","1","1","1.333","1.333","Default","4","true"
"SummonPathArea","_World/World/SummonPathArea/Decor/bush5 (2)","Assets/Arts/SummonPathArea/bush5.png","bush5","64","64","48","1","1","1","1","1.333","1.333","Default","4","true"
"SummonPathArea","_World/World/SummonPathArea/Decor/grass","Assets/Arts/SummonPathArea/grass.png","grass","64","64","64","1","1","1","1","1","1","Default","2","true"
"SummonPathArea","_World/World/SummonPathArea/Decor/grass (1)","Assets/Arts/SummonPathArea/grass.png","grass","64","64","64","1","1","1","1","1","1","Default","4","true"
"SummonPathArea","_World/World/SummonPathArea/Decor/grass (2)","Assets/Arts/SummonPathArea/grass.png","grass","64","64","64","1","1","1","1","1","1","Default","4","true"
"SummonPathArea","_World/World/SummonPathArea/Decor/grass (3)","Assets/Arts/SummonPathArea/grass.png","grass","64","64","64","1","1","1","1","1","1","Default","4","true"
"SummonPathArea","_World/World/SummonPathArea/Decor/grass (4)","Assets/Arts/SummonPathArea/grass.png","grass","64","64","64","1","1","1","1","1","1","Default","2","true"
"SummonPathArea","_World/World/SummonPathArea/Decor/grass (5)","Assets/Arts/SummonPathArea/grass.png","grass","64","64","64","1","1","1","1","1","1","Default","4","true"
"SummonPathArea","_World/World/SummonPathArea/Decor/grass (6)","Assets/Arts/SummonPathArea/grass.png","grass","64","64","64","1","1","1","1","1","1","Default","4","true"
"SummonPathArea","_World/World/SummonPathArea/Decor/grass (7)","Assets/Arts/SummonPathArea/grass.png","grass","64","64","64","1","1","1","1","1","1","Default","4","true"
"SummonPathArea","_World/World/SummonPathArea/Decor/grass (8)","Assets/Arts/SummonPathArea/grass.png","grass","64","64","64","1","1","1","1","1","1","Default","4","true"
"SummonPathArea","_World/World/SummonPathArea/Decor/grass (9)","Assets/Arts/SummonPathArea/grass.png","grass","64","64","64","1","1","1","1","1","1","Default","4","true"
"SummonPathEndPoint","_World/World/SummonPathArea/SummonPathEndPoint","Packages/com.unity.2d.sprite/Editor/ObjectMenuCreation/DefaultAssets/Textures/v2/Square.png","Square","256","256","256","0.68","0.5","0.68","0.5","0.68","0.5","Default","0","false"
"SummonPathStartPoint","_World/World/SummonPathArea/SummonPathStartPoint","Packages/com.unity.2d.sprite/Editor/ObjectMenuCreation/DefaultAssets/Textures/v2/Square.png","Square","256","256","256","0.68","0.5","0.68","0.5","0.68","0.5","Default","0","false"
"Zone00_Start","_World/World/Zone00_Start/Decor/Gate","Assets/Arts/SummonPathArea/Gate.png","Gate","64","64","26","1","1","1","1","2.462","2.462","Default","10","true"
"Zone00_Start","_World/World/Zone00_Start/Decor/bigstone-sheet (1)","Assets/Arts/ResourcesNode/Enviroment/bigstone-sheet.png","bigstone-sheet","64","64","64","1","1","1","1","1","1","Default","0","true"
"Zone00_Start","_World/World/Zone00_Start/Decor/grass_tilemap","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone00_Start","_World/World/Zone00_Start/Decor/grass_tilemap (1)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone00_Start","_World/World/Zone00_Start/Decor/grass_tilemap (2)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone00_Start","_World/World/Zone00_Start/Decor/grass_tilemap (3)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone00_Start","_World/World/Zone00_Start/Decor/grass_tilemap (4)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone00_Start","_World/World/Zone00_Start/Decor/grass_tilemap (5)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone00_Start","_World/World/Zone00_Start/Decor/grass_tilemap (6)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone00_Start","_World/World/Zone00_Start/Decor/grass_tilemap (7)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone00_Start","_World/World/Zone00_Start/Decor/grass_tilemap (8)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone00_Start","_World/World/Zone00_Start/Decor/grass_tilemap01","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap01.png","grass_tilemap01","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone00_Start","_World/World/Zone00_Start/Decor/grass_tilemap01 (1)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap01.png","grass_tilemap01","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone00_Start","_World/World/Zone00_Start/Decor/grass_tilemap01 (2)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap01.png","grass_tilemap01","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone00_Start","_World/World/Zone00_Start/Decor/log-sheet (1)","Assets/Arts/ResourcesNode/Enviroment/log-sheet.png","log-sheet","64","64","64","1","1","1","1","1","1","Default","0","true"
"Zone00_Start","_World/World/Zone00_Start/Decor/log-sheet (2)","Assets/Arts/ResourcesNode/Enviroment/log-sheet.png","log-sheet","64","64","64","1","1","1","1","1","1","Default","0","true"
"Zone00_Start","_World/World/Zone00_Start/Decor/smallstone-sheet","Assets/Arts/ResourcesNode/Enviroment/smallstone-sheet.png","smallstone-sheet","64","64","72","1","1","1","1","0.889","0.889","Default","3","true"
"Zone00_Start","_World/World/Zone00_Start/GardenArrivalSpawnPoint","Packages/com.unity.2d.sprite/Editor/ObjectMenuCreation/DefaultAssets/Textures/v2/Square.png","Square","256","256","256","0.68","0.5","0.68","0.5","0.68","0.5","Default","0","true"
"Zone00_Start","_World/World/Zone00_Start/ResourcesNode/Bushes/RedBush","Assets/Arts/ResourcesNode/Tree/Bush_Map_Idle.png","Bush_Map_Idle_0","64","64","64","1","1","1","1","1","1","Default","3","true"
"Zone00_Start","_World/World/Zone00_Start/ResourcesNode/Bushes/RedBush (1)","Assets/Arts/ResourcesNode/Tree/Bush_Map_Idle.png","Bush_Map_Idle_0","64","64","64","1","1","1","1","1","1","Default","3","true"
"Zone00_Start","_World/World/Zone00_Start/ResourcesNode/Bushes/RedBush (1)/DropPoint","Packages/com.unity.2d.sprite/Editor/ObjectMenuCreation/DefaultAssets/Textures/v2/Square.png","Square","256","256","256","1","0.171","1","0.171","1","0.171","Default","0","false"
"Zone00_Start","_World/World/Zone00_Start/ResourcesNode/Bushes/RedBush (1)/ReadyBubble","Assets/Arts/UI/Bubble_32x28.png","Bubble_32x28","32","28","64","1","1","1","1","0.5","0.438","Default","10","true"
"Zone00_Start","_World/World/Zone00_Start/ResourcesNode/Bushes/RedBush (1)/ReadyBubble/Icon","Assets/Arts/ResourcesNode/Tree/RedBerryBush/NewRedBerry/RedBerry_Item_Animation_Click.png","RedBerry_Item_Animation_Click_0","64","64","64","0.4","0.4","0.4","0.4","0.4","0.4","Default","10","true"
"Zone00_Start","_World/World/Zone00_Start/ResourcesNode/Bushes/RedBush (2)","Assets/Arts/ResourcesNode/Tree/Bush_Map_Idle.png","Bush_Map_Idle_0","64","64","64","1","1","1","1","1","1","Default","3","true"
"Zone00_Start","_World/World/Zone00_Start/ResourcesNode/Bushes/RedBush (2)/DropPoint","Packages/com.unity.2d.sprite/Editor/ObjectMenuCreation/DefaultAssets/Textures/v2/Square.png","Square","256","256","256","1","0.171","1","0.171","1","0.171","Default","0","false"
"Zone00_Start","_World/World/Zone00_Start/ResourcesNode/Bushes/RedBush (2)/ReadyBubble","Assets/Arts/UI/Bubble_32x28.png","Bubble_32x28","32","28","64","1","1","1","1","0.5","0.438","Default","10","true"
"Zone00_Start","_World/World/Zone00_Start/ResourcesNode/Bushes/RedBush (2)/ReadyBubble/Icon","Assets/Arts/ResourcesNode/Tree/RedBerryBush/NewRedBerry/RedBerry_Item_Animation_Click.png","RedBerry_Item_Animation_Click_0","64","64","64","0.4","0.4","0.4","0.4","0.4","0.4","Default","10","true"
"Zone00_Start","_World/World/Zone00_Start/ResourcesNode/Bushes/RedBush (3)","Assets/Arts/ResourcesNode/Tree/Bush_Map_Idle.png","Bush_Map_Idle_0","64","64","64","1","1","1","1","1","1","Default","3","true"
"Zone00_Start","_World/World/Zone00_Start/ResourcesNode/Bushes/RedBush (3)/DropPoint","Packages/com.unity.2d.sprite/Editor/ObjectMenuCreation/DefaultAssets/Textures/v2/Square.png","Square","256","256","256","1","0.171","1","0.171","1","0.171","Default","0","false"
"Zone00_Start","_World/World/Zone00_Start/ResourcesNode/Bushes/RedBush (3)/ReadyBubble","Assets/Arts/UI/Bubble_32x28.png","Bubble_32x28","32","28","64","1","1","1","1","0.5","0.438","Default","10","true"
"Zone00_Start","_World/World/Zone00_Start/ResourcesNode/Bushes/RedBush (3)/ReadyBubble/Icon","Assets/Arts/ResourcesNode/Tree/RedBerryBush/NewRedBerry/RedBerry_Item_Animation_Click.png","RedBerry_Item_Animation_Click_0","64","64","64","0.4","0.4","0.4","0.4","0.4","0.4","Default","10","true"
"Zone00_Start","_World/World/Zone00_Start/ResourcesNode/Bushes/RedBush/DropPoint","Packages/com.unity.2d.sprite/Editor/ObjectMenuCreation/DefaultAssets/Textures/v2/Square.png","Square","256","256","256","1","0.171","1","0.171","1","0.171","Default","0","false"
"Zone00_Start","_World/World/Zone00_Start/ResourcesNode/Bushes/RedBush/ReadyBubble","Assets/Arts/UI/Bubble_32x28.png","Bubble_32x28","32","28","64","1","1","1","1","0.5","0.438","Default","10","true"
"Zone00_Start","_World/World/Zone00_Start/ResourcesNode/Bushes/RedBush/ReadyBubble/Icon","Assets/Arts/ResourcesNode/Tree/RedBerryBush/NewRedBerry/RedBerry_Item_Animation_Click.png","RedBerry_Item_Animation_Click_0","64","64","64","0.4","0.4","0.4","0.4","0.4","0.4","Default","10","true"
"Zone00_Start","_World/World/Zone00_Start/ResourcesNode/Harvest/Redmushroom/red_mushroom_map","Assets/Arts/ResourcesNode/Harvest/RedMushroom/red_mushroom_map.png","red_mushroom_map","32","32","64","1","1","1","1","0.5","0.5","Default","10","true"
"Zone00_Start","_World/World/Zone00_Start/ResourcesNode/Harvest/Redmushroom/red_mushroom_map (1)","Assets/Arts/ResourcesNode/Harvest/RedMushroom/red_mushroom_map.png","red_mushroom_map","32","32","64","1","1","1","1","0.5","0.5","Default","10","true"
"Zone00_Start","_World/World/Zone00_Start/ResourcesNode/Harvest/Redmushroom/red_mushroom_map (2)","Assets/Arts/ResourcesNode/Harvest/RedMushroom/red_mushroom_map.png","red_mushroom_map","32","32","64","1","1","1","1","0.5","0.5","Default","10","true"
"Zone00_Start","_World/World/Zone00_Start/ResourcesNode/Harvest/Redmushroom/red_mushroom_map (3)","Assets/Arts/ResourcesNode/Harvest/RedMushroom/red_mushroom_map.png","red_mushroom_map","32","32","64","1","1","1","1","0.5","0.5","Default","10","true"
"Zone00_Start","_World/World/Zone00_Start/ResourcesNode/Trees/AppleTree","Assets/Arts/ResourcesNode/Tree/AppleTree/apple_tree_idle.png","apple_tree_idle_0","96","96","32","1","1","1","1","3","3","Default","5","true"
"Zone00_Start","_World/World/Zone00_Start/ResourcesNode/Trees/AppleTree/ReadyBubble","Assets/Arts/UI/Bubble_32x28.png","Bubble_32x28","32","28","64","1.478","1.48","1.478","1.48","0.739","0.648","Default","10","true"
"Zone00_Start","_World/World/Zone00_Start/ResourcesNode/Trees/AppleTree/ReadyBubble/AppleIcon","Assets/Arts/UI/Apple.png","Apple","16","16","16","0.2","0.2","0.296","0.296","0.296","0.296","Default","10","true"
"Zone01","_World/World/Zone01/ResourcesNode/AppleTree","Assets/Arts/ResourcesNode/Tree/AppleTree/apple_tree_idle.png","apple_tree_idle_0","96","96","32","1","1","1","1","3","3","Default","5","true"
"Zone01","_World/World/Zone01/ResourcesNode/AppleTree/ReadyBubble","Assets/Arts/UI/Bubble_32x28.png","Bubble_32x28","32","28","64","1.478","1.48","1.478","1.48","0.739","0.648","Default","10","true"
"Zone01","_World/World/Zone01/ResourcesNode/AppleTree/ReadyBubble/AppleIcon","Assets/Arts/UI/Apple.png","Apple","16","16","16","0.2","0.2","0.296","0.296","0.296","0.296","Default","10","true"
"Zone01","_World/World/Zone01/ResourcesNode/Bushes/PurpleBush","Assets/Arts/ResourcesNode/Tree/Bush_Map_Idle.png","Bush_Map_Idle_0","64","64","64","1","1","1","1","1","1","Default","3","true"
"Zone01","_World/World/Zone01/ResourcesNode/Bushes/PurpleBush (1)","Assets/Arts/ResourcesNode/Tree/Bush_Map_Idle.png","Bush_Map_Idle_0","64","64","64","1","1","1","1","1","1","Default","3","true"
"Zone01","_World/World/Zone01/ResourcesNode/Bushes/PurpleBush (1)/DropPoint","Packages/com.unity.2d.sprite/Editor/ObjectMenuCreation/DefaultAssets/Textures/v2/Square.png","Square","256","256","256","1","0.171","1","0.171","1","0.171","Default","0","false"
"Zone01","_World/World/Zone01/ResourcesNode/Bushes/PurpleBush (1)/ReadyBubble","Assets/Arts/UI/Bubble_32x28.png","Bubble_32x28","32","28","64","1","1","1","1","0.5","0.438","Default","0","true"
"Zone01","_World/World/Zone01/ResourcesNode/Bushes/PurpleBush (1)/ReadyBubble/Icon","Assets/Arts/ResourcesNode/Tree/BlueBerryBush/PurpleBerry_Harvest_Click.png","PurpleBerry_Harvest_Click_0","64","64","64","0.4","0.4","0.4","0.4","0.4","0.4","Default","2","true"
"Zone01","_World/World/Zone01/ResourcesNode/Bushes/PurpleBush (2)","Assets/Arts/ResourcesNode/Tree/Bush_Map_Idle.png","Bush_Map_Idle_0","64","64","64","1","1","1","1","1","1","Default","3","true"
"Zone01","_World/World/Zone01/ResourcesNode/Bushes/PurpleBush (2)/DropPoint","Packages/com.unity.2d.sprite/Editor/ObjectMenuCreation/DefaultAssets/Textures/v2/Square.png","Square","256","256","256","1","0.171","1","0.171","1","0.171","Default","0","false"
"Zone01","_World/World/Zone01/ResourcesNode/Bushes/PurpleBush (2)/ReadyBubble","Assets/Arts/UI/Bubble_32x28.png","Bubble_32x28","32","28","64","1","1","1","1","0.5","0.438","Default","0","true"
"Zone01","_World/World/Zone01/ResourcesNode/Bushes/PurpleBush (2)/ReadyBubble/Icon","Assets/Arts/ResourcesNode/Tree/BlueBerryBush/PurpleBerry_Harvest_Click.png","PurpleBerry_Harvest_Click_0","64","64","64","0.4","0.4","0.4","0.4","0.4","0.4","Default","2","true"
"Zone01","_World/World/Zone01/ResourcesNode/Bushes/PurpleBush/DropPoint","Packages/com.unity.2d.sprite/Editor/ObjectMenuCreation/DefaultAssets/Textures/v2/Square.png","Square","256","256","256","1","0.171","1","0.171","1","0.171","Default","0","false"
"Zone01","_World/World/Zone01/ResourcesNode/Bushes/PurpleBush/ReadyBubble","Assets/Arts/UI/Bubble_32x28.png","Bubble_32x28","32","28","64","1","1","1","1","0.5","0.438","Default","0","true"
"Zone01","_World/World/Zone01/ResourcesNode/Bushes/PurpleBush/ReadyBubble/Icon","Assets/Arts/ResourcesNode/Tree/BlueBerryBush/PurpleBerry_Harvest_Click.png","PurpleBerry_Harvest_Click_0","64","64","64","0.4","0.4","0.4","0.4","0.4","0.4","Default","2","true"
"Zone01","_World/World/Zone01/ResourcesNode/Decors/Flower_White (1)/Flower_Visual","Assets/Arts/ResourcesNode/Enviroment/flower_White-sheet.png","flower_White-sheet_0","64","64","118","1","1","1","1","0.542","0.542","Default","0","true"
"Zone01","_World/World/Zone01/ResourcesNode/Decors/Flower_White (2)/Flower_Visual","Assets/Arts/ResourcesNode/Enviroment/flower_White-sheet.png","flower_White-sheet_0","64","64","118","1","1","1","1","0.542","0.542","Default","0","true"
"Zone01","_World/World/Zone01/ResourcesNode/Decors/Flower_White/Flower_Visual","Assets/Arts/ResourcesNode/Enviroment/flower_White-sheet.png","flower_White-sheet_0","64","64","118","1","1","1","1","0.542","0.542","Default","0","true"
"Zone01","_World/World/Zone01/ResourcesNode/Decors/fallen_log-sheet","Assets/Arts/ResourcesNode/Enviroment/fallen_log-sheet.png","fallen_log-sheet","64","64","64","1","1","1","1","1","1","Default","0","true"
"Zone01","_World/World/Zone01/ResourcesNode/Decors/grass_tilemap00","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone01","_World/World/Zone01/ResourcesNode/Decors/grass_tilemap00 (1)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone01","_World/World/Zone01/ResourcesNode/Decors/grass_tilemap00 (2)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone01","_World/World/Zone01/ResourcesNode/Decors/grass_tilemap00 (3)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone01","_World/World/Zone01/ResourcesNode/Decors/grass_tilemap00 (4)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone01","_World/World/Zone01/ResourcesNode/Decors/grass_tilemap00 (5)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone01","_World/World/Zone01/ResourcesNode/Decors/grass_tilemap00 (6)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone01","_World/World/Zone01/ResourcesNode/Decors/grass_tilemap00 (7)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone01","_World/World/Zone01/ResourcesNode/Decors/grass_tilemap00 (8)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone01","_World/World/Zone01/ResourcesNode/Harvest/green_mushroom_map","Assets/Arts/ResourcesNode/Harvest/GreenMushroom/green_mushroom_map.png","green_mushroom_map","32","32","64","1","1","1","1","0.5","0.5","Default","10","true"
"Zone01_Fog","_World/World/Zone01/Zone01_Fog/Button_Unlock","Assets/Arts/UI/padlock_lock.png","padlock_lock","48","48","32","1","1","1","1","1.5","1.5","Default","3","true"
"Zone02","_World/World/Zone02/ResourcesNode/Decors/Fence (1)/Fence_down","Assets/Arts/ResourcesNode/Enviroment/fencedown.png","fencedown","48","48","48","1","1","1","1","1","1","Default","9891","true"
